Date,Match_type,Outcome,Overs,Team A,Team B,Winner,Toss,Venue
4/8/2007,ODI,winner Australia by wickets 7,50,Australia, England,England,bat,Sir Vivian Richards Stadium North Sound
4/9/2007,ODI,winner New Zealand by runs 129,50,Ireland, New Zealand,New Zealand,bat,Providence Stadium
4/10/2007,ODI,winner South Africa by runs 67,50,West Indies, South Africa,West Indies,field,National Cricket Stadium St George's
4/11/2007,ODI,winner England by wickets 4,50,Bangladesh, England,England,field,Kensington Oval Bridgetown
4/12/2007,ODI,winner Sri Lanka by wickets 6,50,New Zealand, Sri Lanka,New Zealand,bat,National Cricket Stadium St George's
4/13/2007,ODI,winner Australia by wickets 9,50,Australia, Ireland,Australia,field,Kensington Oval Bridgetown
4/14/2007,ODI,winner New Zealand by wickets 5,50,New Zealand, South Africa,New Zealand,field,National Cricket Stadium St George's
4/15/2007,ODI,winner Ireland by runs 74,50,Bangladesh, Ireland,Ireland,bat,Kensington Oval Bridgetown
4/16/2007,ODI,winner Australia by wickets 7,50,Australia, Sri Lanka,Sri Lanka,bat,National Cricket Stadium St George's
4/17/2007,ODI,winner South Africa by wickets 9,50,England, South Africa,England,bat,Kensington Oval Bridgetown
4/18/2007,ODI,winner Sri Lanka by wickets 8,50,Ireland, Sri Lanka,Sri Lanka,field,National Cricket Stadium St George's
4/19/2007,ODI,winner West Indies by runs 99,50,West Indies, Bangladesh,Bangladesh,field,Kensington Oval Bridgetown
4/20/2007,ODI,winner Australia by runs 215,50,Australia, New Zealand,Australia,bat,National Cricket Stadium St George's
4/21/2007,ODI,winner England by wickets 1,50,West Indies, England,England,field,Kensington Oval Bridgetown
4/24/2007,ODI,winner Sri Lanka by runs 81,50,New Zealand, Sri Lanka,Sri Lanka,bat,Sabina Park Kingston
4/25/2007,ODI,winner Australia by wickets 7,50,Australia, South Africa,South Africa,bat,Beausejour Stadium Gros Islet
4/28/2007,ODI,winner Australia by runs 53,50,Australia, Sri Lanka,Australia,bat,Kensington Oval Bridgetown
8/6/2006,ODI,winner Bangladesh by wickets 8,50,Zimbabwe, Bangladesh,Zimbabwe,bat,Harare Sports Club
11/22/2006,ODI,winner South Africa by runs 157,50,South Africa, India,South Africa,bat,Kingsmead
11/26/2006,ODI,winner South Africa by runs 106,50,South Africa, India,South Africa,bat,Newlands
11/29/2006,ODI,winner South Africa by runs 80,50,South Africa, India,South Africa,bat,St George's Park
12/3/2006,ODI,winner South Africa by wickets 9,50,South Africa, India,South Africa,field,SuperSport Park
1/14/2007,ODI,winner Australia by runs 105,50,Australia, New Zealand,Australia,bat,Bellerive Oval
1/21/2007,ODI,winner Australia by wickets 2,50,Australia, New Zealand,New Zealand,bat,Sydney Cricket Ground
1/28/2007,ODI,winner Australia by runs 8,50,Australia, New Zealand,Australia,bat,Western Australia Cricket Association Ground
2/4/2007,ODI,winner Australia by wickets 5,50,Australia, New Zealand,New Zealand,bat,Melbourne Cricket Ground
1/12/2007,ODI,winner Australia by wickets 8,50,Australia, England,England,bat,Melbourne Cricket Ground
1/19/2007,ODI,winner Australia by wickets 4,50,Australia, England,England,bat,Brisbane Cricket Ground Woolloongabba
1/26/2007,ODI,winner Australia by wickets 9,50,Australia, England,England,bat,Adelaide Oval
2/2/2007,ODI,winner England by runs 92,50,Australia, England,England,bat,Sydney Cricket Ground
1/16/2007,ODI,winner England by wickets 3,50,England, New Zealand,New Zealand,bat,Bellerive Oval
1/23/2007,ODI,winner New Zealand by runs 90,50,England, New Zealand,New Zealand,bat,Adelaide Oval
1/30/2007,ODI,winner New Zealand by runs 58,50,England, New Zealand,New Zealand,bat,Western Australia Cricket Association Ground
2/6/2007,ODI,winner England by runs 14,50,England, New Zealand,England,bat,Brisbane Cricket Ground Woolloongabba
2/9/2007,ODI,winner England by wickets 4,50,Australia, England,Australia,bat,Melbourne Cricket Ground
2/11/2007,ODI,winner England by runs 34,50,Australia, England,England,bat,Sydney Cricket Ground
8/12/2006,ODI,winner Bangladesh by wickets 6,50,Kenya, Bangladesh,Bangladesh,field,Gymkhana Club Ground
8/13/2006,ODI,winner Bangladesh by wickets 2,50,Kenya, Bangladesh,Kenya,bat,Gymkhana Club Ground
8/15/2006,ODI,winner Bangladesh by wickets 6,50,Kenya, Bangladesh,Bangladesh,field,Gymkhana Club Ground
10/7/2006,ODI,winner Sri Lanka by runs 37,50,Bangladesh, Sri Lanka,Bangladesh,field,Punjab Cricket Association Stadium Mohali
10/8/2006,ODI,winner West Indies by wickets 9,50,West Indies, Zimbabwe,Zimbabwe,bat,Sardar Patel Stadium Motera
10/10/2006,ODI,winner Sri Lanka by runs 144,50,Sri Lanka, Zimbabwe,Sri Lanka,bat,Sardar Patel Stadium Motera
10/11/2006,ODI,winner West Indies by wickets 10,50,Bangladesh, West Indies,Bangladesh,bat,Sawai Mansingh Stadium
10/13/2006,ODI,winner Bangladesh by runs 101,50,Bangladesh, Zimbabwe,Zimbabwe,field,Sawai Mansingh Stadium
10/14/2006,ODI,winner Sri Lanka by wickets 9,50,Sri Lanka, West Indies,West Indies,bat,Brabourne Stadium
10/15/2006,ODI,winner India by wickets 4,50,India, England,India,field,Sawai Mansingh Stadium
10/16/2006,ODI,winner New Zealand by runs 87,50,New Zealand, South Africa,South Africa,field,Brabourne Stadium
10/17/2006,ODI,winner Pakistan by wickets 4,50,Pakistan, Sri Lanka,Sri Lanka,bat,Sawai Mansingh Stadium
10/18/2006,ODI,winner West Indies by runs 10,50,Australia, West Indies,West Indies,bat,Brabourne Stadium
10/20/2006,ODI,winner Sri Lanka by wickets 7,50,New Zealand, Sri Lanka,New Zealand,bat,Brabourne Stadium
10/21/2006,ODI,winner Australia by wickets 6,50,Australia, England,Australia,field,Sawai Mansingh Stadium
10/24/2006,ODI,winner South Africa by runs 78,50,South Africa, Sri Lanka,Sri Lanka,field,Sardar Patel Stadium Motera
10/25/2006,ODI,winner New Zealand by runs 51,50,New Zealand, Pakistan,Pakistan,field,Punjab Cricket Association Stadium Mohali
10/26/2006,ODI,winner West Indies by wickets 3,50,India, West Indies,West Indies,field,Sardar Patel Stadium Motera
10/27/2006,ODI,winner South Africa by runs 124,50,Pakistan, South Africa,South Africa,bat,Punjab Cricket Association Stadium Mohali
10/28/2006,ODI,winner England by wickets 3,50,England, West Indies,West Indies,bat,Sardar Patel Stadium Motera
10/29/2006,ODI,winner Australia by wickets 6,50,India, Australia,India,bat,Punjab Cricket Association Stadium Mohali
11/1/2006,ODI,winner Australia by runs 34,50,Australia, New Zealand,New Zealand,field,Punjab Cricket Association Stadium Mohali
11/2/2006,ODI,winner West Indies by wickets 6,50,South Africa, West Indies,South Africa,bat,Sawai Mansingh Stadium
11/5/2006,ODI,winner Australia by wickets 8,50,Australia, West Indies,West Indies,bat,Brabourne Stadium
2/4/2007,ODI,winner South Africa by runs 164,50,South Africa, Pakistan,Pakistan,field,SuperSport Park
2/7/2007,ODI,winner Pakistan by runs 141,50,South Africa, Pakistan,Pakistan,bat,Kingsmead
2/9/2007,ODI,no result,50,South Africa, Pakistan,Pakistan,bat,St George's Park
2/11/2007,ODI,winner South Africa by wickets 10,50,South Africa, Pakistan,South Africa,field,Newlands
2/14/2007,ODI,winner South Africa by wickets 9,50,South Africa, Pakistan,Pakistan,bat,New Wanderers Stadium
12/28/2006,ODI,winner Sri Lanka by wickets 7,50,New Zealand, Sri Lanka,New Zealand,bat,McLean Park
1/2/2007,ODI,winner New Zealand by wickets 4,50,New Zealand, Sri Lanka,New Zealand,field,Jade Stadium
1/6/2007,ODI,winner Sri Lanka by runs 189,50,New Zealand, Sri Lanka,Sri Lanka,bat,Eden Park
2/16/2007,ODI,winner New Zealand by wickets 10,50,New Zealand, Australia,New Zealand,field,Westpac Stadium
2/18/2007,ODI,winner New Zealand by wickets 5,50,New Zealand, Australia,New Zealand,field,Eden Park
2/20/2007,ODI,winner New Zealand by wickets 1,50,New Zealand, Australia,Australia,bat,Seddon Park
9/15/2006,ODI,winner South Africa by wickets 5,50,South Africa, Zimbabwe,Zimbabwe,bat,Goodyear Park
9/14/2006,ODI,winner West Indies by runs 29,50,India, West Indies,India,bat,Kinrara Academy Oval
9/16/2006,ODI,no result,50,Australia, India,Australia,bat,Kinrara Academy Oval
9/18/2006,ODI,winner West Indies by wickets 3,50,Australia, West Indies,Australia,bat,Kinrara Academy Oval
9/20/2006,ODI,winner India by runs 16,50,India, West Indies,India,bat,Kinrara Academy Oval
9/22/2006,ODI,winner Australia by runs 18,50,Australia, India,Australia,bat,Kinrara Academy Oval
9/24/2006,ODI,winner Australia by runs 127,50,Australia, West Indies,Australia,bat,Kinrara Academy Oval
8/18/2006,ODI,no result,50,Sri Lanka, India,India,bat,Sinhalese Sports Club Ground
9/20/2006,ODI,winner South Africa by runs 171,50,South Africa, Zimbabwe,South Africa,bat,Sedgars Park
12/7/2006,ODI,winner Pakistan by wickets 2,50,Pakistan, West Indies,Pakistan,field,Iqbal Stadium
12/10/2006,ODI,winner Pakistan by wickets 7,50,Pakistan, West Indies,Pakistan,field,Gaddafi Stadium
12/13/2006,ODI,winner West Indies by wickets 7,50,Pakistan, West Indies,Pakistan,bat,Multan Cricket Stadium
12/16/2006,ODI,winner Pakistan by wickets 7,50,Pakistan, West Indies,Pakistan,field,National Stadium
7/1/2007,ODI,winner England by runs 79,50,England, West Indies,West Indies,field,Lord's
7/4/2007,ODI,winner West Indies by runs 61,50,England, West Indies,England,field,Edgbaston
7/7/2007,ODI,winner West Indies by runs 93,50,England, West Indies,West Indies,bat,Trent Bridge
8/21/2007,ODI,winner England by runs 104,50,England, India,India,field,The Rose Bowl
8/24/2007,ODI,winner India by runs 9,50,England, India,India,bat,County Ground
8/27/2007,ODI,winner England by runs 42,50,England, India,India,field,Edgbaston
8/30/2007,ODI,winner England by wickets 3,50,England, India,India,bat,Old Trafford
9/2/2007,ODI,winner India by runs 38,50,England, India,England,field,Headingley
9/5/2007,ODI,winner India by wickets 2,50,England, India,England,bat,Kennington Oval
9/8/2007,ODI,winner England by wickets 7,50,England, India,India,bat,Lord's
11/27/2006,ODI,winner Canada by wickets 5,50,Bermuda, Canada,Canada,field,Sedgars Park
12/2/2006,ODI,winner Bermuda by wickets 6,50,Bermuda, Netherlands,Netherlands,bat,Willowmoore Park
11/30/2006,ODI,winner Canada by wickets 3,50,Bermuda, Canada,Canada,field,Willowmoore Park
12/1/2006,ODI,winner Netherlands by wickets 1,50,Canada, Netherlands,Netherlands,field,Willowmoore Park
9/18/2006,ODI,winner South Africa by wickets 6,50,South Africa, Zimbabwe,Zimbabwe,bat,Buffalo Park
12/3/2006,ODI,winner Bangladesh by wickets 6,50,Bangladesh, Zimbabwe,Bangladesh,field,Shaheed Chandu Stadium
12/5/2006,ODI,winner Bangladesh by runs 26,50,Bangladesh, Zimbabwe,Zimbabwe,field,Shaheed Chandu Stadium
12/8/2006,ODI,winner Bangladesh by wickets 8,50,Bangladesh, Zimbabwe,Bangladesh,field,Shere Bangla National Stadium
12/9/2006,ODI,winner Bangladesh by wickets 3,50,Bangladesh, Zimbabwe,Bangladesh,field,Shere Bangla National Stadium
2/2/2007,ODI,winner Canada by runs 56,50,Bermuda, Canada,Bermuda,field,Gymkhana Club Ground
2/4/2007,ODI,winner Netherlands by wickets 8,50,Bermuda, Netherlands,Netherlands,field,Ruaraka Sports Club Ground
2/4/2007,ODI,winner Scotland by runs 77,50,Kenya, Scotland,Scotland,bat,Gymkhana Club Ground
2/5/2007,ODI,winner Kenya by runs 158,50,Kenya, Canada,Kenya,bat,Jaffery Sports Club Ground
1/27/2007,ODI,winner West Indies by wickets 3,50,India, West Indies,West Indies,field,MA Chidambaram Stadium Chepauk
1/31/2007,ODI,winner India by runs 160,50,India, West Indies,West Indies,field,Indian Petrochemicals Corporation Limited Sports Complex Ground
2/8/2007,ODI,no result,50,India, Sri Lanka,India,field,Eden Gardens
2/11/2007,ODI,winner Sri Lanka by runs 5,50,India, Sri Lanka,India,field,Madhavrao Scindia Cricket Ground
2/17/2007,ODI,winner India by wickets 7,50,India, Sri Lanka,India,field,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium
2/14/2007,ODI,winner India by wickets 5,50,India, Sri Lanka,Sri Lanka,bat,Nehru Stadium Fatorda
8/16/2007,ODI,winner India by wickets 7,50,Scotland, India,India,field,Titwood
5/10/2007,ODI,winner India by wickets 5,50,Bangladesh, India,Bangladesh,bat,Shere Bangla National Stadium
5/12/2007,ODI,winner India by runs 46,50,Bangladesh, India,India,bat,Shere Bangla National Stadium
6/6/2007,ODI,winner Asia XI by runs 34,50,Africa XI, Asia XI,Asia XI,bat,M Chinnaswamy Stadium
6/9/2007,ODI,winner Asia XI by runs 31,50,Africa XI, Asia XI,Asia XI,bat,MA Chidambaram Stadium Chepauk
6/10/2007,ODI,winner Asia XI by runs 13,50,Africa XI, Asia XI,Asia XI,bat,MA Chidambaram Stadium Chepauk
10/1/2007,ODI,winner Sri Lanka by runs 119,50,Sri Lanka, England,Sri Lanka,bat,Rangiri Dambulla International Stadium
10/4/2007,ODI,winner England by runs 65,50,Sri Lanka, England,England,bat,Rangiri Dambulla International Stadium
10/10/2007,ODI,winner England by wickets 5,50,Sri Lanka, England,Sri Lanka,bat,R Premadasa Stadium
10/13/2007,ODI,winner Sri Lanka by runs 107,50,Sri Lanka, England,Sri Lanka,bat,R Premadasa Stadium
12/14/2007,ODI,winner Australia by wickets 7,50,Australia, New Zealand,New Zealand,bat,Adelaide Oval
12/16/2007,ODI,no result,50,Australia, New Zealand,New Zealand,bat,Sydney Cricket Ground
12/20/2007,ODI,winner Australia by runs 114,50,Australia, New Zealand,New Zealand,field,Bellerive Oval
2/3/2008,ODI,no result,50,Australia, India,India,bat,Brisbane Cricket Ground Woolloongabba
2/5/2008,ODI,no result,50,India, Sri Lanka,India,bat,Brisbane Cricket Ground Woolloongabba
2/8/2008,ODI,winner Australia by runs 128,50,Australia, Sri Lanka,Australia,bat,Sydney Cricket Ground
2/10/2008,ODI,winner India by wickets 5,50,Australia, India,Australia,bat,Melbourne Cricket Ground
2/15/2008,ODI,winner Australia by runs 63,50,Australia, Sri Lanka,Australia,bat,Western Australia Cricket Association Ground
2/17/2008,ODI,winner Australia by runs 50,50,Australia, India,Australia,bat,Adelaide Oval
2/19/2008,ODI,winner India by wickets 2,50,India, Sri Lanka,Sri Lanka,bat,Adelaide Oval
2/22/2008,ODI,winner Australia by runs 24,50,Australia, Sri Lanka,Sri Lanka,field,Melbourne Cricket Ground
2/24/2008,ODI,winner Australia by runs 18,50,Australia, India,Australia,bat,Sydney Cricket Ground
2/26/2008,ODI,winner India by wickets 7,50,India, Sri Lanka,India,field,Bellerive Oval
2/29/2008,ODI,winner Sri Lanka by runs 13,50,Australia, Sri Lanka,Sri Lanka,bat,Melbourne Cricket Ground
3/2/2008,ODI,winner India by wickets 6,50,Australia, India,Australia,bat,Sydney Cricket Ground
3/4/2008,ODI,winner India by runs 9,50,Australia, India,India,bat,Brisbane Cricket Ground Woolloongabba
6/23/2007,ODI,winner India by wickets 9,50,Ireland, India,India,field,Civil Service Cricket Club Stormont
6/24/2007,ODI,winner South Africa by runs 42,50,Ireland, South Africa,Ireland,field,Civil Service Cricket Club Stormont
6/26/2007,ODI,winner South Africa by wickets 4,50,India, South Africa,South Africa,field,Civil Service Cricket Club Stormont
6/29/2007,ODI,winner India by wickets 6,50,India, South Africa,India,field,Civil Service Cricket Club Stormont
7/1/2007,ODI,winner India by wickets 6,50,India, South Africa,India,field,Civil Service Cricket Club Stormont
7/20/2007,ODI,winner Sri Lanka by runs 70,50,Sri Lanka, Bangladesh,Bangladesh,field,P Saravanamuttu Stadium
7/23/2007,ODI,winner Sri Lanka by wickets 5,50,Sri Lanka, Bangladesh,Sri Lanka,field,R Premadasa Stadium
7/25/2007,ODI,winner Sri Lanka by runs 39,50,Sri Lanka, Bangladesh,Bangladesh,field,R Premadasa Stadium
7/13/2007,ODI,no result,50,Netherlands, Scotland,Scotland,bat,Civil Service Cricket Club Stormont
7/14/2007,ODI,no result,50,Ireland, West Indies,Ireland,bat,Clontarf Cricket Club Ground
10/18/2007,ODI,winner Kenya by wickets 4,50,Kenya, Canada,Kenya,field,Gymkhana Club Ground
10/20/2007,ODI,winner Kenya by wickets 4,50,Kenya, Canada,Canada,bat,Gymkhana Club Ground
6/15/2008,ODI,winner England by runs 114,50,England, New Zealand,New Zealand,field,Riverside Ground
6/18/2008,ODI,no result,50,England, New Zealand,New Zealand,field,Edgbaston
6/21/2008,ODI,winner New Zealand by runs 22,50,England, New Zealand,England,field,County Ground
6/25/2008,ODI,winner New Zealand by wickets 1,50,England, New Zealand,New Zealand,field,Kennington Oval
6/28/2008,ODI,winner New Zealand by runs 51,50,England, New Zealand,England,field,Lord's
8/22/2008,ODI,winner England by runs 20,50,England, South Africa,England,bat,Headingley
8/26/2008,ODI,winner England by wickets 10,50,England, South Africa,South Africa,bat,Trent Bridge
8/29/2008,ODI,winner England by runs 126,50,England, South Africa,South Africa,field,Kennington Oval
8/31/2008,ODI,winner England by wickets 7,50,England, South Africa,England,field,Lord's
9/3/2008,ODI,no result,50,England, South Africa,England,field,Sophia Gardens
9/29/2007,ODI,no result,50,India, Australia,Australia,bat,M Chinnaswamy Stadium
10/2/2007,ODI,winner Australia by runs 84,50,India, Australia,India,field,Nehru Stadium
10/5/2007,ODI,winner Australia by runs 47,50,India, Australia,Australia,bat,Rajiv Gandhi International Stadium Uppal
10/8/2007,ODI,winner India by runs 8,50,India, Australia,India,bat,Sector 16 Stadium
10/11/2007,ODI,winner Australia by wickets 9,50,India, Australia,India,bat,Reliance Stadium
10/14/2007,ODI,winner Australia by runs 18,50,India, Australia,Australia,bat,Vidarbha Cricket Association Ground
10/17/2007,ODI,winner India by wickets 2,50,India, Australia,Australia,bat,Wankhede Stadium
11/5/2007,ODI,winner India by wickets 5,50,India, Pakistan,Pakistan,bat,Nehru Stadium
11/8/2007,ODI,winner Pakistan by wickets 4,50,India, Pakistan,India,bat,Punjab Cricket Association Stadium Mohali
11/11/2007,ODI,winner India by runs 46,50,India, Pakistan,Pakistan,field,Green Park
11/15/2007,ODI,winner India by wickets 6,50,India, Pakistan,Pakistan,bat,Captain Roop Singh Stadium
11/18/2007,ODI,winner Pakistan by runs 31,50,India, Pakistan,India,field,Sawai Mansingh Stadium
11/25/2007,ODI,winner South Africa by wickets 2,50,South Africa, New Zealand,South Africa,field,Kingsmead
11/30/2007,ODI,winner New Zealand by wickets 7,50,South Africa, New Zealand,South Africa,bat,St George's Park
12/2/2007,ODI,winner South Africa by wickets 5,50,South Africa, New Zealand,New Zealand,bat,Newlands
1/20/2008,ODI,winner South Africa by wickets 6,50,South Africa, West Indies,South Africa,field,SuperSport Park
1/25/2008,ODI,winner South Africa by runs 86,50,South Africa, West Indies,South Africa,bat,Newlands
1/27/2008,ODI,winner South Africa by wickets 7,50,South Africa, West Indies,West Indies,bat,St George's Park
2/1/2008,ODI,winner South Africa by wickets 5,50,South Africa, West Indies,West Indies,bat,Kingsmead
2/3/2008,ODI,winner South Africa by wickets 8,50,South Africa, West Indies,South Africa,field,New Wanderers Stadium
10/18/2007,ODI,winner South Africa by runs 45,50,Pakistan, South Africa,South Africa,bat,Gaddafi Stadium
10/20/2007,ODI,winner Pakistan by runs 25,50,Pakistan, South Africa,Pakistan,bat,Gaddafi Stadium
10/23/2007,ODI,winner Pakistan by wickets 6,50,Pakistan, South Africa,South Africa,bat,Iqbal Stadium
10/26/2007,ODI,winner South Africa by wickets 7,50,Pakistan, South Africa,Pakistan,bat,Multan Cricket Stadium
10/29/2007,ODI,winner South Africa by runs 14,50,Pakistan, South Africa,South Africa,bat,Gaddafi Stadium
12/26/2007,ODI,winner New Zealand by wickets 6,50,New Zealand, Bangladesh,New Zealand,field,Eden Park
12/28/2007,ODI,winner New Zealand by runs 102,50,New Zealand, Bangladesh,New Zealand,bat,McLean Park
12/31/2007,ODI,winner New Zealand by wickets 10,50,New Zealand, Bangladesh,New Zealand,field,Queenstown Events Centre
2/9/2008,ODI,winner New Zealand by wickets 6,50,New Zealand, England,England,bat,Westpac Stadium
2/12/2008,ODI,winner New Zealand by wickets 10,50,New Zealand, England,New Zealand,field,Seddon Park
2/15/2008,ODI,winner England by wickets 6,50,New Zealand, England,England,field,Eden Park
2/20/2008,ODI,tie,50,New Zealand, England,New Zealand,field,McLean Park
2/23/2008,ODI,winner New Zealand by runs 34,50,New Zealand, England,New Zealand,field,AMI Stadium
8/22/2007,ODI,winner South Africa by wickets 5,50,Zimbabwe, South Africa,Zimbabwe,bat,Queens Sports Club
8/25/2007,ODI,winner South Africa by wickets 8,50,Zimbabwe, South Africa,South Africa,field,Harare Sports Club
8/26/2007,ODI,winner South Africa by runs 28,50,Zimbabwe, South Africa,South Africa,bat,Harare Sports Club
10/25/2007,ODI,winner Kenya by wickets 8,50,Kenya, Bermuda,Kenya,field,Gymkhana Club Ground
10/27/2007,ODI,winner Kenya by wickets 3,50,Kenya, Bermuda,Bermuda,bat,Gymkhana Club Ground
10/28/2007,ODI,winner Kenya by wickets 1,50,Kenya, Bermuda,Bermuda,bat,Gymkhana Club Ground
11/30/2007,ODI,winner Zimbabwe by runs 30,50,Zimbabwe, West Indies,West Indies,field,Harare Sports Club
12/2/2007,ODI,winner West Indies by runs 110,50,Zimbabwe, West Indies,Zimbabwe,field,Harare Sports Club
12/7/2007,ODI,winner West Indies by wickets 5,50,Zimbabwe, West Indies,West Indies,field,Queens Sports Club
4/10/2008,ODI,winner West Indies by wickets 1,50,West Indies, Sri Lanka,West Indies,field,Queen's Park Oval Port of Spain
4/12/2008,ODI,winner West Indies by wickets 7,50,West Indies, Sri Lanka,West Indies,field,Queen's Park Oval Port of Spain
4/15/2008,ODI,no result,50,West Indies, Sri Lanka,West Indies,field,Beausejour Stadium Gros Islet
6/24/2008,ODI,winner Australia by runs 84,50,West Indies, Australia,West Indies,field,Arnos Vale Ground Kingstown
6/27/2008,ODI,winner Australia by runs 63,50,West Indies, Australia,Australia,bat,National Cricket Stadium St George's
6/29/2008,ODI,winner Australia by wickets 7,50,West Indies, Australia,Australia,field,National Cricket Stadium St George's
7/4/2008,ODI,winner Australia by runs 1,50,West Indies, Australia,West Indies,field,Warner Park Basseterre
7/6/2008,ODI,winner Australia by runs 169,50,West Indies, Australia,Australia,bat,Warner Park Basseterre
3/9/2008,ODI,winner South Africa by wickets 9,50,Bangladesh, South Africa,Bangladesh,bat,Chittagong Divisional Stadium
